Words,Antonyms
Acumen,Stupidity
Adhere,Condemn
Abolish,Setup,Establish
Abash,Uphold
Abound,Deficient
Abate,Aggravate
Abject,Commendable
Abjure,Approve
Abortive,Productive
Absolve,Compel
Accord,Discord
Acrimony,Courtesy
Adamant,Flexible
Adherent,Rival
Adjunct,Separated
Admonish,Approve
Adversity,Prosperity
Alien,Native
Allay,Aggravate
Alleviate,Aggravate
Allure,Repulse
Ascend,Descend
Amplify,Lessen
Arraign,Exculpate
Audacity,Mildness
Authentic,Fictitious
Awkward,Adroit
Axiom,Absurdity
Baffle,Facilitate
Bewitching,Repulsive
Bleak,Bright
Brittle,Tough
Bustle,Slowness
Barbarous,Civilized
Baroque,Plain
Barren,Damp
Barrier,Link
Base,Summit
Batty,Sane
Bawdy,Decent
Befogged,Clear,headed
Benevolent,Malevolent
Benign,Malignant
Bind,Release
Bleak,Bright
Blunt,Keen
Boisterous,Placid
Bold,Timid
Busy,Idle
Calculating,Artless
Calamity,Fortune
Callous,Compassionate
Calumny,Commendation
Capable,Incompetent
Captivate,Disillusion
Captivity,Freedom
Cease,Begin
Chaste,Sullied
Chastise,Cheer
Compassion,Cruelty
Comprise,Reject
Concede,Deny
Concur,Differ
Consent,Object
Consequence,Origin
Consolidate,Separate
Conspicuous,Concealed
Contempt,Regard
Contradict,Approve
Contrary,Similar
Calm,Stormy
Callous,Kind
Camouflage,Reveal
Candid,Evasive
Captivate,Repel
Carnal,Spiritual
Catholic,Narrow-,minded
Celebrated,Unknown
Cement,Disintegrate
Censure,Praise
Cheap,Dear
Clandestine,Open
Classic,Romantic
Coarse,Fine
Comic,Tragic
Compact,Loose
Compress,Amplify
Conceit,Modesty
Concord,Discord
Condemn,Approve
Confident,Diffident
Consolidate,Weaken
Courtesy,Disdain
Creation,Destruction
Cunning,Nave
Decay,Flourish
Deceit,Veracity
Decipher,Misinterpret
Defile,Purify
Defray,Disclaim
Deliberate,Rash
Demolish,Repair
Deprive,Restore
Deride,Inspire
Disdain,Approve
Dissuade,Insite
Denounce,Defend
Dense,Sparse
Derogatory,Laudatory
Despair,Contentment
Destructive,Creative
Docile,Headstrong
Dwarf,Huge
Eager,Indifferent
Eclipse,Shine
Eccentric,Natural
Ecstasy,Despair
Efface,Retain
Eloquence,Halting
Encumbrance,Incentive
Endeavour,Cease
Enormous,Diminutive
Epitome,Increment
Equivocal,Obvious
Eradicate,Secure
Fabricate,Destroy
Fallacy,Veracity
Falter,Persist
Fanatical,Liberal
Feeble,Strong
Ferocious,Gentle
Feud,Harmony
Fluctuate,Stabilize
Forsake,Hold
Fragile,Enduring
Frantic,Subdued
Frivolous,Solemn
Frugality,Lavishness
Gather,Disperse
Gloom,Delight
Glut,Starve
Gorgeous,Dull
Gracious,Rude
Grisly,Pleasing
Grudge,Benevolence
Guile,Honesty
Generosity,Stinginess
Genuine,Spurious
Gloomy,Gay
Glory,Shame
Hamper,Promote
Hapless,Fortunate
Harass,Assist
Haughty,Humble
Hazard,Conviction
Heretic,Conformable
Hideous,Attractive
Hamstrung,Strengthen
Harmony,Discord
Hasty,Leisurely
Honor,Denunciation
